"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOMF_FRIZZLED_BINDING","GOMF_FRIZZLED_BINDING",30,-0.948974123199363,-2.04722364540424,4.80156475594356e-05,0.483325508333279,0.483325508333279,30,"tags=13%, list=0%, signal=13%","WNT11/WNT9B/WNT10A/CTHRC1"
"HP_GASTROINTESTINAL_ULCER","HP_GASTROINTESTINAL_ULCER",44,-0.91180214768425,-2.01655986424161,0.000369171722986916,0.961394576447672,0.961394576447672,18,"tags=7%, list=0%, signal=7%","PI4KA/FKBP6/CTHRC1"
"GOMF_MAP_KINASE_ACTIVITY","GOMF_MAP_KINASE_ACTIVITY",14,-0.955337242621567,-2.00077136482125,0.00289667749877454,0.961394576447672,0.961394576447672,14,"tags=14%, list=0%, signal=14%","MAPK9/MAPK12"
"GOBP_COCHLEA_MORPHOGENESIS","GOBP_COCHLEA_MORPHOGENESIS",19,-0.93818969211366,-1.99977429183537,0.0137645156335958,0.961394576447672,0.961394576447672,3,"tags=11%, list=0%, signal=11%","EYA1/CTHRC1"
"GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS",16,0.961848791439491,1.99532977973423,0.0020454689345931,0.961394576447672,0.961394576447672,30,"tags=12%, list=0%, signal=12%","HDAC4/SLC4A1"
"HP_INFECTION_FOLLOWING_LIVE_VACCINATION","HP_INFECTION_FOLLOWING_LIVE_VACCINATION",17,0.948926768570705,1.9851623773236,0.00549577059957211,0.961394576447672,0.961394576447672,56,"tags=12%, list=0%, signal=12%","ORAI1/SPPL2A"
"GOMF_MACROMOLECULE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_MACROMOLECULE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",17,0.947795758084697,1.9827962943554,0.00633587779091012,0.961394576447672,0.961394576447672,18,"tags=6%, list=0%, signal=6%","TOMM20"
"GOMF_TBP_CLASS_PROTEIN_BINDING","GOMF_TBP_CLASS_PROTEIN_BINDING",21,0.935233153464934,1.98059085350736,0.012359456483177,0.961394576447672,0.961394576447672,4,"tags=5%, list=0%, signal=5%","YEATS2"
"GOMF_SUMO_TRANSFERASE_ACTIVITY","GOMF_SUMO_TRANSFERASE_ACTIVITY",17,0.946002378209539,1.97904452933587,0.00752810091937826,0.961394576447672,0.961394576447672,99,"tags=12%, list=1%, signal=12%","HDAC4/HDAC7"
"GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION",11,-0.968001811384247,-1.97867662792272,0.00374872216655865,0.961394576447672,0.961394576447672,3,"tags=18%, list=0%, signal=18%","ABL1/CTHRC1"
