gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000002256,C1H9orf85,1025.260772,0.012408183,0.080493763,0.574021971,0.999567267,,,,
ENSCAFG00000002257,ABHD17B,326.795567,-0.00119648,0.092414785,0.875898451,0.999567267,,,,
ENSCAFG00000002264,CROT,1315.479253,0.014683636,0.083928857,0.3554729,0.999567267,,,,
ENSCAFG00000002266,KCTD8,419.1035851,-0.000133029,0.089511472,0.98711571,0.999567267,,,,
ENSCAFG00000002271,NA,754.5607596,0.011633129,0.083652495,0.450477248,0.999567267,,,,
ENSCAFG00000002275,YIPF7,401.297913,-0.014814752,0.081883579,0.445012473,0.999567267,,,,
ENSCAFG00000002276,ABCB4,1669.975368,-0.001795962,0.0824784,0.912200913,0.999567267,,,,
ENSCAFG00000002278,CUL9,8797.879926,-0.018769083,0.082585893,0.321895003,0.999567267,,,,
ENSCAFG00000002281,SMU1,444.6680377,-0.002529302,0.08777975,0.782234388,0.999567267,,,,
ENSCAFG00000002287,DNPH1,787.7662394,-0.007715305,0.082195889,0.660144428,0.999567267,,,,
ENSCAFG00000002289,TTBK1,2199.389899,-0.00657658,0.07190628,0.848355172,0.999567267,,,,
ENSCAFG00000002290,B4GALT1,110.3863856,-0.0317465,0.078389743,0.261492899,0.999567267,,,,
ENSCAFG00000002293,CRIP3,795.2255504,0.01053919,0.078818708,0.677733607,0.999567267,,,,
ENSCAFG00000002294,SPINK4,60.03201981,0.002517425,0.082666685,0.873688503,0.999567267,,,,
ENSCAFG00000002297,NA,397.9390068,-0.006787567,0.080295182,0.758360744,0.999567267,,,,
ENSCAFG00000002300,ZNF318,54.92909439,0.01000737,0.092771173,0.321497526,0.999567267,,,,
ENSCAFG00000002304,TRPM3,1277.900554,0.008794382,0.082457955,0.606819826,0.999567267,,,,
ENSCAFG00000002305,GUF1,304.0331016,-0.001363016,0.083114032,0.925899249,0.999567267,,,,
ENSCAFG00000002308,ADAM22,380.3248745,0.003399354,0.096094796,0.654699678,0.999567267,,,,
ENSCAFG00000002309,ABCC10,87.8336249,-0.012390097,0.195943567,0.215931514,0.999567267,,,,
ENSCAFG00000002310,NA,123.8165194,-0.000999244,0.082667723,0.949466449,0.999567267,,,,
ENSCAFG00000002315,STEAP4,894.3489037,-0.003449391,0.08258517,0.830455383,0.999567267,,,,
ENSCAFG00000002319,NA,57.2084991,-0.001291999,0.106971551,0.851367701,0.999567267,,,,
ENSCAFG00000002323,DLK2,638.0380637,0.004682926,0.083743701,0.731363581,0.999567267,,,,
ENSCAFG00000002324,TEX47,2858.859457,0.006746297,0.080451782,0.75589474,0.999567267,,,,
ENSCAFG00000002330,ZNF804B,2799.075394,-0.000968591,0.096013157,0.893448088,0.999567267,,,,
ENSCAFG00000002332,TJAP1,184.6975805,0.011346321,0.079182246,0.646138866,0.999567267,,,,
ENSCAFG00000002333,NA,80.15268645,0.002423058,0.081367385,0.899812162,0.999567267,,,,
ENSCAFG00000002335,YIPF3,7.100167796,0.002334708,0.086192357,0.817034263,0.999567267,,,,
ENSCAFG00000002336,NOL6,1145.824349,0.003951607,0.081252956,0.840218328,0.999567267,,,,
ENSCAFG00000002337,STEAP2,125.6981443,-0.014837379,0.08287042,0.396916658,0.999567267,,,,
ENSCAFG00000002340,GNPDA2,6074.437288,0.031166308,0.081041764,0.197097518,0.999567267,,,,
ENSCAFG00000002342,TCP11L2,1673.912939,0.002210146,0.099086164,0.758117586,0.999567267,,,,
ENSCAFG00000002344,CFAP69,414.8264022,-0.01518078,0.08244311,0.408462082,0.999567267,,,,
ENSCAFG00000002346,CKAP4,1473.40845,0.010541839,0.079731554,0.654313851,0.999567267,,,,
ENSCAFG00000002348,NA,18.86803512,0.007752556,0.117611402,0.335096786,0.999567267,,,,
ENSCAFG00000002349,GABRG1,4204.150711,-0.039092603,0.074259272,0.249710595,0.999567267,,,,
ENSCAFG00000002351,NUAK1,102.7669682,0.009275271,0.081111422,0.648475376,0.999567267,,,,
ENSCAFG00000002352,SMC5,1955.103896,-8.59E-05,0.081039277,0.996583699,0.999567267,,,,
ENSCAFG00000002354,GTPBP10,9620.135726,0.015885555,0.077437985,0.571774679,0.999567267,,,,
ENSCAFG00000002356,GABRA1,249.7541313,-0.019316387,0.066908012,0.610486586,0.999567267,,,,
ENSCAFG00000002360,CLDN12,242.5305114,-0.000550907,0.080024341,0.980461865,0.999567267,,,,
ENSCAFG00000002361,APPL2,81.4334957,-0.004237727,0.081357823,0.826619249,0.999567267,,,,
ENSCAFG00000002363,GABRB1,2.881460332,-0.00157358,0.087816297,0.860916897,0.999567267,,,,
ENSCAFG00000002364,MAMDC2,867.4209723,-0.000856526,0.112950668,0.901116501,0.999567267,,,,
ENSCAFG00000002365,UBAP2,3655.281778,-0.012507336,0.081685793,0.519729682,0.999567267,,,,
ENSCAFG00000002366,XPO5,11794.509,0.004055184,0.077131782,0.885135061,0.999567267,,,,
ENSCAFG00000002367,C1H9orf135,7.49214544,-0.002394657,0.086318745,0.810800198,0.999567267,,,,
ENSCAFG00000002370,WASHC4,867.8762805,0.015417466,0.080914229,0.474053526,0.999567267,,,,
ENSCAFG00000002372,PTAR1,370.1150825,0.003696375,0.087166347,0.703778449,0.999567267,,,,
ENSCAFG00000002375,APBA1,10.15043622,-0.009522275,0.084078938,0.502816731,0.999567267,,,,
ENSCAFG00000002377,CDK14,1813.860817,0.025358952,0.080081115,0.303481913,0.999567267,,,,
ENSCAFG00000002380,COMMD8,1785.904983,0.0199046,0.07935867,0.429237246,0.999567267,,,,
ENSCAFG00000002382,FAM189A2,218.7100642,0.006841927,0.082350285,0.688336543,0.999567267,,,,
ENSCAFG00000002386,DCAF12,28.16652102,-0.012079581,0.111552182,0.201894687,0.999567267,,,,
ENSCAFG00000002387,TJP2,3890.765606,0.008914632,0.080145493,0.692413858,0.999567267,,,,
ENSCAFG00000002391,NA,416.9863089,0.025574797,0.080429754,0.288161099,0.999567267,,,,
ENSCAFG00000002392,FZD1,342.7264643,0.005149568,0.137611495,0.501965405,0.999567267,,,,
ENSCAFG00000002393,CORIN,479.4252416,-0.007227171,0.089870549,0.458233193,0.999567267,,,,
ENSCAFG00000002394,MTERF1,379.5501866,0.011528382,0.080335902,0.605678939,0.999567267,,,,
ENSCAFG00000002396,POLH,700.0724538,-0.011824945,0.081912183,0.529716415,0.999567267,,,,
ENSCAFG00000002397,ALDH1L2,999.6879564,0.00041408,0.084609636,0.971688598,0.999567267,,,,
ENSCAFG00000002399,NFXL1,22.13951709,-0.000678493,0.083086824,0.963184415,0.999567267,,,,
ENSCAFG00000002404,C11H9orf24,996.5219704,-0.009698799,0.081475231,0.619430119,0.999567267,,,,
ENSCAFG00000002406,PIP5K1B,546.3952386,-0.006145945,0.082672462,0.704200867,0.999567267,,,,
ENSCAFG00000002409,CNGA1,3.73214318,-0.00225277,0.086826938,0.814951868,0.999567267,,,,
ENSCAFG00000002411,GTPBP2,20.93181179,-0.013077673,0.084840081,0.363241692,0.999567267,,,,
ENSCAFG00000002412,FAM219A,55.33833343,-0.00430483,0.098652165,0.572459632,0.999567267,,,,
ENSCAFG00000002413,NA,4885.134781,-0.000301553,0.083994202,0.981069743,0.999567267,,,,
ENSCAFG00000002414,MAD2L1BP,14.23946496,0.000900321,0.099631474,0.897892218,0.999567267,,,,
ENSCAFG00000002416,DNAI1,420.9781577,0.005510939,0.087979393,0.575050264,0.999567267,,,,
ENSCAFG00000002421,RSPH9,35.18188305,-0.006161726,0.112347774,0.422228681,0.999567267,,,,
ENSCAFG00000002425,TMEM252,2307.750372,-0.01638807,0.079403839,0.507227818,0.999567267,,,,
ENSCAFG00000002427,MRPS18A,56.01941667,-0.000154076,0.096287735,0.982868443,0.999567267,,,,
ENSCAFG00000002428,SLC41A2,840.5495835,0.011143916,0.082446784,0.524936503,0.999567267,,,,
ENSCAFG00000002432,PGM5,92.22523626,-0.002163218,0.088296053,0.807052685,0.999567267,,,,
ENSCAFG00000002433,CNTFR,5.448279467,-0.002368485,0.091269009,0.768145502,0.999567267,,,,
ENSCAFG00000002440,DCTN3,105.0389926,0.010799531,0.087453556,0.362020606,0.999567267,,,,
ENSCAFG00000002445,VEGFA,3831.172515,0.033987673,0.078015466,0.242834391,0.999567267,,,,
ENSCAFG00000002447,TMEM63B,226.7050174,-0.003779724,0.089782202,0.664181262,0.999567267,,,,
ENSCAFG00000002448,TEC,948.972097,0.000312499,0.085360219,0.976679584,0.999567267,,,,
ENSCAFG00000002451,CBWD1,844.9003717,0.009604738,0.083633772,0.519652631,0.999567267,,,,
ENSCAFG00000002454,TXNRD1,701.5032506,-0.01180846,0.084325972,0.41695308,0.999567267,,,,
ENSCAFG00000002455,CYP51A1,64.03321322,-0.003874711,0.08170877,0.833396413,0.999567267,,,,
ENSCAFG00000002456,GALT,228.6178764,-0.001605359,0.093788286,0.830870868,0.999567267,,,,
ENSCAFG00000002459,LRRD1,438.4033692,0.012383794,0.07839639,0.637140021,0.999567267,,,,
ENSCAFG00000002460,NA,262.1243019,0.012207726,0.081628875,0.531498757,0.999567267,,,,
ENSCAFG00000002463,SEPTIN10,641.3669292,0.018629358,0.08083787,0.400790457,0.999567267,,,,
ENSCAFG00000002467,CCL27,1457.329385,0.017474732,0.083811354,0.299781635,0.999567267,,,,
ENSCAFG00000002469,CCL19,9439.260753,0.024862356,0.08080453,0.286009931,0.999567267,,,,
ENSCAFG00000002471,SLAIN2,966.8630605,-0.000613243,0.088062927,0.944330338,0.999567267,,,,
ENSCAFG00000002473,DOCK8,16.0831071,-0.0120315,0.091324485,0.277627776,0.999567267,,,,
ENSCAFG00000002479,CAPN11,122.1054179,0.006499129,0.082601387,0.692002596,0.999567267,,,,
ENSCAFG00000002483,PHF24,953.0892692,-0.003543719,0.088615815,0.694502055,0.999567267,,,,
ENSCAFG00000002487,SLC10A4,685.0354759,0.001759679,0.104605844,0.800286745,0.999567267,,,,
ENSCAFG00000002489,DNAJB5,426.0775525,0.009161829,0.09615466,0.327137417,0.999567267,,,,
ENSCAFG00000002492,C11H9orf131,509.8339614,0.00119925,0.085919191,0.906214013,0.999567267,,,,
ENSCAFG00000002493,NA,2904.181665,0.017376337,0.080988719,0.42269784,0.999567267,,,,
ENSCAFG00000002498,EDAR,252.672953,-0.003236672,0.089455463,0.708819642,0.999567267,,,,
ENSCAFG00000002499,NA,371.3645822,-0.014631799,0.096235036,0.192947626,0.999567267,,,,
ENSCAFG00000002500,FRYL,3242.65686,-0.009232985,0.083769672,0.527161885,0.999567267,,,,
ENSCAFG00000002505,KANK1,229.5991728,-0.024327629,0.079563657,0.337905072,0.999567267,,,,
ENSCAFG00000002519,SLC29A1,124.1817135,0.003596426,0.09755629,0.632925209,0.999567267,,,,
ENSCAFG00000002524,DMRT1,6.806390292,0.010844162,0.085152539,0.417379625,0.999567267,,,,
ENSCAFG00000002525,SLC35B2,5587.759598,-0.009060914,0.095322402,0.335468775,0.999567267,,,,
ENSCAFG00000002527,TMEM151B,6160.152812,0.019976037,0.081448974,0.346612862,0.999567267,,,,
ENSCAFG00000002528,TCTE1,1009.538642,0.004869185,0.084211447,0.7049623,0.999567267,,,,
ENSCAFG00000002531,DMRT2,4698.937747,-0.026763196,0.078978798,0.316137315,0.999567267,,,,
ENSCAFG00000002532,AARS2,378.3251258,0.023384899,0.081886608,0.26926404,0.999567267,,,,
ENSCAFG00000002533,OCIAD1,2966.655839,0.004331607,0.082002325,0.806509293,0.999567267,,,,
ENSCAFG00000002535,NA,828.3650354,0.00634266,0.08142452,0.742661429,0.999567267,,,,
ENSCAFG00000002538,FANCG,114.1336883,-0.01465347,0.082621919,0.413389741,0.999567267,,,,
ENSCAFG00000002540,CWH43,5.401378997,-0.004538862,0.100724972,0.548826087,0.999567267,,,,
ENSCAFG00000002541,CDK6,35827.90435,-0.000231733,0.079293585,0.992322542,0.999567267,,,,
ENSCAFG00000002542,DCUN1D4,2379.050458,0.001417592,0.077052045,0.959860547,0.999567267,,,,
ENSCAFG00000002543,PIGO,762.7552448,-0.004070312,0.080129396,0.855305473,0.999567267,,,,
ENSCAFG00000002544,SGCB,1943.763478,-0.006826657,0.082320858,0.690197228,0.999567267,,,,
ENSCAFG00000002545,SUPT3H,1158.460665,-0.010936558,0.081511336,0.576827005,0.999567267,,,,
ENSCAFG00000002546,SPATA18,111.6264815,-0.01776906,0.082519048,0.345084007,0.999567267,,,,
ENSCAFG00000002548,SAMD9L,34.77774632,-0.002014176,0.081762999,0.91185881,0.999567267,,,,
ENSCAFG00000002551,HEPACAM2,7692.61118,0.029010693,0.075623762,0.358930604,0.999567267,,,,
ENSCAFG00000002552,SMARCA2,1286.773965,0.002008777,0.082512202,0.901367693,0.999567267,,,,
ENSCAFG00000002553,USP46,414.0807106,-0.021092439,0.082527142,0.282098436,0.999567267,,,,
ENSCAFG00000002557,CLIC5,229.9123524,0.014399403,0.082989145,0.402606269,0.999567267,,,,
ENSCAFG00000002558,FAM214B,1097.101195,0.016104341,0.075719308,0.5983636,0.999567267,,,,
ENSCAFG00000002560,VPS50,37.46666671,0.01372977,0.082384815,0.44983674,0.999567267,,,,
ENSCAFG00000002561,RASL11B,729.8933251,-0.012706423,0.076851673,0.659145782,0.999567267,,,,
ENSCAFG00000002563,ENPP4,980.1049722,-0.000661807,0.078980628,0.978643212,0.999567267,,,,
ENSCAFG00000002564,ENPP5,863.7662388,0.030527768,0.080239271,0.226946033,0.999567267,,,,
ENSCAFG00000002575,GCC2,119.415132,-0.011052824,0.090943914,0.306910912,0.999567267,,,,
ENSCAFG00000002576,CYP39A1,1105.992426,-0.000159954,0.089321255,0.984618178,0.999567267,,,,
ENSCAFG00000002577,VLDLR,463.0438729,-0.001849566,0.097356739,0.797964468,0.999567267,,,,
ENSCAFG00000002580,UNC13B,364.942285,0.00246901,0.081212686,0.899988109,0.999567267,,,,
ENSCAFG00000002581,SCFD2,7.497309396,-0.000141137,0.094315217,0.9846874,0.999567267,,,,
ENSCAFG00000002585,KCNV2,19787.63558,0.011374405,0.077785037,0.676423837,0.999567267,,,,
ENSCAFG00000002587,CALCR,26.15913037,-0.0041615,0.093499128,0.606362178,0.999567267,,,,
ENSCAFG00000002594,TDRD6,344.1518741,0.004981572,0.088256409,0.602115466,0.999567267,,,,
ENSCAFG00000002596,NA,247.2756689,-0.001062359,0.078439939,0.967117526,0.999567267,,,,
ENSCAFG00000002599,LNX1,522.0155684,0.00050071,0.084524878,0.966150815,0.999567267,,,,
ENSCAFG00000002600,TFPI2,6.235166666,-0.001512874,0.102450365,0.828255576,0.999567267,,,,
ENSCAFG00000002601,SULT1C2,51.32500824,-0.008451447,0.091731735,0.385392579,0.999567267,,,,
ENSCAFG00000002602,NA,365.4122582,0.033741867,0.079828512,0.202247631,0.999567267,,,,
ENSCAFG00000002603,MEP1A,84.59963726,0.000719943,0.100077371,0.917953348,0.999567267,,,,
ENSCAFG00000002605,GNGT1,1814.943405,-0.000281527,0.080733393,0.989209849,0.999567267,,,,
ENSCAFG00000002607,NA,2165.308416,-0.001860796,0.078174168,0.943522365,0.999567267,,,,
ENSCAFG00000002608,GNG11,7881.450136,0.014282985,0.084288135,0.351813032,0.999567267,,,,
ENSCAFG00000002609,RUSC2,80.51406128,0.000266642,0.087131537,0.976991563,0.999567267,,,,
ENSCAFG00000002610,CHIC2,314.065036,-0.018254773,0.084881781,0.253861063,0.999567267,,,,
ENSCAFG00000002612,GSX2,956.7202727,0.013050841,0.077543091,0.638098478,0.999567267,,,,
ENSCAFG00000002614,ADGRF5,21.82719845,-0.017973511,0.085501022,0.24388956,0.999567267,,,,
ENSCAFG00000002616,PDGFRA,77.02361661,-0.002153925,0.082334505,0.897268158,0.999567267,,,,
ENSCAFG00000002619,CD72,38.4940402,0.000380056,0.078893004,0.987819914,0.999567267,,,,
ENSCAFG00000002627,KIT,2304.161456,-0.004313547,0.107146034,0.555684148,0.999567267,,,,
ENSCAFG00000002631,SLC1A1,1133.03434,-0.000694835,0.085189261,0.949172703,0.999567267,,,,
ENSCAFG00000002632,ADGRF1,404.7948918,-0.001880985,0.083216966,0.896335099,0.999567267,,,,
ENSCAFG00000002633,COL1A2,381.6226154,-0.023491983,0.081791377,0.271124756,0.999567267,,,,
ENSCAFG00000002634,FAM32A,629.8710371,-0.003988494,0.084009572,0.759606179,0.999567267,,,,
ENSCAFG00000002635,NA,547.1115184,0.003514416,0.087763054,0.707661218,0.999567267,,,,
ENSCAFG00000002641,ARHGEF39,2863.344922,-0.009353572,0.085406098,0.460151579,0.999567267,,,,
ENSCAFG00000002646,CA9,7335.754838,0.012679293,0.082841269,0.457326487,0.999567267,,,,
ENSCAFG00000002649,NA,3733.870814,-0.002133203,0.083883058,0.869893818,0.999567267,,,,
ENSCAFG00000002655,ST6GAL2,815.3657461,0.03076592,0.078908324,0.260933735,0.999567267,,,,
ENSCAFG00000002656,CDC37L1,112103.3632,0.031242314,0.081246657,0.190730725,0.999567267,,,,
ENSCAFG00000002657,NA,4.901960014,0.004349222,0.095363196,0.582199111,0.999567267,,,,
ENSCAFG00000002658,NA,723.3464852,0.014209505,0.086183636,0.300016218,0.999567267,,,,
ENSCAFG00000002659,NA,1895.31077,0.005085598,0.081161972,0.798186947,0.999567267,,,,
ENSCAFG00000002661,NA,4743.296713,0.028381779,0.080595681,0.242913203,0.999567267,,,,
ENSCAFG00000002663,TPM2,3034.611567,-0.006758366,0.08630684,0.54378073,0.999567267,,,,
ENSCAFG00000002664,CD2AP,2535.008485,0.009723292,0.081245583,0.628139256,0.999567267,,,,
ENSCAFG00000002669,ADGRF2,2674.76715,0.009987343,0.083154203,0.528869982,0.999567267,,,,
ENSCAFG00000002671,CASD1,526.154119,0.009854112,0.083659393,0.509470909,0.999567267,,,,
ENSCAFG00000002675,TMEM165,1081.98898,0.000174432,0.084879753,0.987660197,0.999567267,,,,
ENSCAFG00000002688,ADGRF4,1079.662946,0.000575267,0.080649584,0.978170184,0.999567267,,,,
ENSCAFG00000002689,UXS1,2659.362378,-0.007619789,0.081906349,0.676149702,0.999567267,,,,
ENSCAFG00000002692,OPN5,99.51956156,-0.004338468,0.096319617,0.578599892,0.999567267,,,,
ENSCAFG00000002694,ECRG4,120.7820388,-0.006587626,0.084220779,0.618648309,0.999567267,,,,
ENSCAFG00000002696,NCK2,22.76207058,-0.001984677,0.082071252,0.909058293,0.999567267,,,,
ENSCAFG00000002697,PTCHD4,331.074359,-0.026769184,0.082013154,0.218430397,0.999567267,,,,
ENSCAFG00000002699,NA,2871.130575,0.007254514,0.075246882,0.814012853,0.999567267,,,,
ENSCAFG00000002700,JAK2,3020.809393,-0.005464944,0.076297404,0.852371242,0.999567267,,,,
ENSCAFG00000002703,FHL2,1432.661616,-0.012576973,0.068446742,0.73380426,0.999567267,,,,
ENSCAFG00000002708,PPP1R9A,1906.998879,0.006421422,0.079690589,0.78361586,0.999567267,,,,
ENSCAFG00000002711,MMUT,1693.591992,0.012472021,0.082503584,0.480345223,0.999567267,,,,
ENSCAFG00000002714,TGFBRAP1,12.1660618,-0.001320525,0.107501661,0.848119989,0.999567267,,,,
ENSCAFG00000002721,RLN2,827.3423074,-0.000224961,0.080074116,0.991980232,0.999567267,,,,
ENSCAFG00000002724,C10H2orf49,1793.73007,-0.011731972,0.082528369,0.501917815,0.999567267,,,,
ENSCAFG00000002727,PON3,2734.017076,-0.000935361,0.095493748,0.89766091,0.999567267,,,,
ENSCAFG00000002729,CD274,2547.601913,0.009127306,0.080958996,0.659131686,0.999567267,,,,
ENSCAFG00000002731,PDCD1LG2,349.5111498,0.002944586,0.100990883,0.683113749,0.999567267,,,,
ENSCAFG00000002732,MRPS9,6225.288539,0.005069902,0.079819601,0.825895555,0.999567267,,,,
ENSCAFG00000002740,CENPQ,4.68255122,-0.008986208,0.097743601,0.325372961,0.999567267,,,,
ENSCAFG00000002741,GLYATL3,1542.587891,0.015653387,0.091046946,0.20745005,0.999567267,,,,
ENSCAFG00000002742,RIC1,3209.672286,-0.004677651,0.087804889,0.628219882,0.999567267,,,,
ENSCAFG00000002743,PDK4,324.5226517,-0.025531431,0.081285863,0.258926886,0.999567267,,,,
ENSCAFG00000002744,SLC9A2,13436.74856,0.002568727,0.085529012,0.81071142,0.999567267,,,,
ENSCAFG00000002745,ERMP1,223.7723635,-0.010173148,0.08353317,0.504081989,0.999567267,,,,
ENSCAFG00000002753,NA,4808.369332,-0.006982687,0.126922843,0.37364398,0.999567267,,,,
ENSCAFG00000002755,IL18RAP,638.6647608,0.01102353,0.081013747,0.595390689,0.999567267,,,,
ENSCAFG00000002758,IL18R1,1494.314436,0.009615264,0.083663029,0.51791649,0.999567267,,,,
ENSCAFG00000002765,CLOCK,4769.126651,0.017994742,0.080328091,0.435837921,0.999567267,,,,
ENSCAFG00000002766,RHAG,375.5280949,0.000956048,0.08578419,0.925932374,0.999567267,,,,
ENSCAFG00000002767,IL1RL1,253.1675859,0.006113637,0.081414852,0.751719816,0.999567267,,,,
ENSCAFG00000002770,DYNC1I1,157.9310038,0.019025791,0.082360862,0.326323798,0.999567267,,,,
ENSCAFG00000002771,IL1RL2,5262.634647,-0.003101516,0.084253046,0.803693281,0.999567267,,,,
ENSCAFG00000002772,IL1R1,6551.01547,-0.012485912,0.079340834,0.610083997,0.999567267,,,,
ENSCAFG00000002774,IL1R2,2046.927133,-0.000266257,0.085606758,0.979628773,0.999567267,,,,
ENSCAFG00000002784,TFAP2D,66.00107262,0.013867307,0.086569712,0.299451092,0.999567267,,,,
ENSCAFG00000002790,NA,10.40032111,0.001680979,0.089430448,0.84102694,0.999567267,,,,
ENSCAFG00000002792,TFAP2B,4461.365949,0.017411873,0.082214241,0.366415085,0.999567267,,,,
ENSCAFG00000002793,NA,67.20497141,-0.001779849,0.098784769,0.80299293,0.999567267,,,,
ENSCAFG00000002796,NA,4811.935536,0.013051738,0.089251429,0.275519494,0.999567267,,,,
ENSCAFG00000002797,SPTLC1,457.8142563,-0.000596797,0.090404759,0.940614214,0.999567267,,,,
ENSCAFG00000002799,SLC25A13,125.1453151,-0.007285518,0.087426726,0.494056711,0.999567267,,,,
ENSCAFG00000002800,MAP4K4,25.66382239,-0.003069079,0.089359062,0.722985003,0.999567267,,,,
ENSCAFG00000002803,ROR2,39.51025002,-0.009173043,0.091446641,0.361172725,0.999567267,,,,
ENSCAFG00000002809,PKHD1,2297.623393,0.006656027,0.085643545,0.566604004,0.999567267,,,,
ENSCAFG00000002811,NA,3.194172031,-0.003516665,0.085476268,0.748206124,0.999567267,,,,
ENSCAFG00000002819,NA,44.0296457,0.000809524,0.082973748,0.956907757,0.999567267,,,,
ENSCAFG00000002820,GADD45G,179.6412025,-0.003670547,0.096420222,0.630700572,0.999567267,,,,
ENSCAFG00000002821,EXOC1,1854.356201,0.042080639,0.075871318,0.19772266,0.999567267,,,,
ENSCAFG00000002822,SEM1,324.5415007,0.015792091,0.080722033,0.472699807,0.999567267,,,,
ENSCAFG00000002824,SEMA4D,387.1495243,0.011443314,0.083075128,0.483745744,0.999567267,,,,
ENSCAFG00000002825,IL17F,116.0402988,-0.007789235,0.089894489,0.432742014,0.999567267,,,,
ENSCAFG00000002827,DLX6,1255.631675,0.019472827,0.080569182,0.393686543,0.999567267,,,,
ENSCAFG00000002829,SECISBP2,741.137818,0.009934649,0.07900497,0.690710101,0.999567267,,,,
ENSCAFG00000002830,CEP135,16.37773565,0.003828971,0.090261055,0.65584154,0.999567267,,,,
ENSCAFG00000002833,RFX8,217.5247299,0.007805941,0.078690341,0.759182047,0.999567267,,,,
ENSCAFG00000002835,DLX5,996.9340074,0.001177601,0.100912748,0.866185824,0.999567267,,,,
ENSCAFG00000002837,NA,932.1972979,-0.00350888,0.089724669,0.685127734,0.999567267,,,,
ENSCAFG00000002840,CNOT11,23.53463405,-0.009591634,0.167215331,0.282864711,0.999567267,,,,
ENSCAFG00000002847,SHC3,283.607557,-0.003076652,0.106232758,0.664939083,0.999567267,,,,
ENSCAFG00000002848,NA,470.0850413,0.016346876,0.082432269,0.38061342,0.999567267,,,,
ENSCAFG00000002850,CREB3,1737.952398,0.010385559,0.096091174,0.288234046,0.999567267,,,,
ENSCAFG00000002852,S1PR3,1269.296399,0.014469394,0.081616106,0.467093214,0.999567267,,,,
ENSCAFG00000002862,SPIN1,1802.636588,-0.005876892,0.081363298,0.762368593,0.999567267,,,,
ENSCAFG00000002865,AASDH,541.546648,0.003832275,0.082749638,0.807507388,0.999567267,,,,
ENSCAFG00000002868,EFHC1,548.4074877,-0.002251304,0.10625099,0.747347534,0.999567267,,,,
ENSCAFG00000002874,CDK20,88.05438504,-0.030795984,0.079092365,0.255653096,0.999567267,,,,
ENSCAFG00000002876,TRAM2,3092.349436,-0.004018084,0.09277824,0.621714941,0.999567267,,,,
ENSCAFG00000002879,NA,186.4670585,0.000344564,0.083173599,0.981020011,0.999567267,,,,
ENSCAFG00000002894,NA,4373.680149,0.001421999,0.101793162,0.838623569,0.999567267,,,,
ENSCAFG00000002897,ASNS,3235.651113,0.021497217,0.085267243,0.198782186,0.999567267,,,,
ENSCAFG00000002898,NPAS2,609.4680599,0.014735951,0.081793528,0.451447131,0.999567267,,,,
ENSCAFG00000002905,ZNF169,23.91204462,-0.004221429,0.096978067,0.584748899,0.999567267,,,,
ENSCAFG00000002913,RGP1,2379.142307,0.015580339,0.081036579,0.464512329,0.999567267,,,,
ENSCAFG00000002916,PDCL3,4213.364705,-0.002734901,0.083566148,0.842060273,0.999567267,,,,
ENSCAFG00000002918,C1GALT1,3391.579089,0.001380035,0.08270911,0.929826375,0.999567267,,,,
ENSCAFG00000002919,PTPDC1,1009.817523,0.001391891,0.118440349,0.842105174,0.999567267,,,,
ENSCAFG00000002921,NA,2065.912925,0.003990964,0.084518668,0.743912227,0.999567267,,,,
ENSCAFG00000002922,NPR2,2869.418701,0.016145619,0.081534338,0.427644899,0.999567267,,,,
ENSCAFG00000002926,NA,338.0885673,0.030273146,0.080524873,0.221694074,0.999567267,,,,
ENSCAFG00000002927,MIOS,7.989385272,0.00151905,0.103245402,0.827153751,0.999567267,,,,
ENSCAFG00000002929,HINT2,1351.879831,-0.005123827,0.081250314,0.794485885,0.999567267,,,,
ENSCAFG00000002931,FAM221B,1324.928616,0.006576101,0.083341425,0.656316885,0.999567267,,,,
ENSCAFG00000002935,SRP72,281.603857,0.003271021,0.08097431,0.871828448,0.999567267,,,,
ENSCAFG00000002936,GLCCI1,76.99008961,-0.006380236,0.08942801,0.505732049,0.999567267,,,,
ENSCAFG00000002937,ARL9,3009.639577,0.025380155,0.082129412,0.23235295,0.999567267,,,,
ENSCAFG00000002939,TMEM8B,88.14514172,-0.001406948,0.102251675,0.840009352,0.999567267,,,,
ENSCAFG00000002940,PHF2,202.0260192,0.001989537,0.081763056,0.912928402,0.999567267,,,,
ENSCAFG00000002941,REST,1041.003421,-0.005504583,0.082662747,0.732863857,0.999567267,,,,
ENSCAFG00000002942,CILK1,5.71598249,-0.007686353,0.107805886,0.347976998,0.999567267,,,,
ENSCAFG00000002947,NOA1,95.31064432,6.15E-05,0.109714089,0.992838005,0.999567267,,,,
ENSCAFG00000002948,ICA1,112.349284,-0.00503493,0.10051901,0.513731031,0.999567267,,,,
ENSCAFG00000002950,FAM120A,124.054935,0.000146988,0.094547337,0.983999356,0.999567267,,,,
ENSCAFG00000002953,WNK2,47.89166206,0.000872572,0.09745064,0.902516167,0.999567267,,,,
ENSCAFG00000002957,PHF14,221.0424863,0.006810987,0.101950434,0.403250587,0.999567267,,,,
ENSCAFG00000002959,GCM1,170.9325706,0.030739701,0.078824299,0.263483799,0.999567267,,,,
ENSCAFG00000002960,CARD19,69.52325633,-0.008086918,0.106380397,0.333169035,0.999567267,,,,
